question_itself,question_image,options,correct_index
Преимущество в движении имеет:,URLLINK/28.jpg,"[""Синий автомобиль, т. к. красный изменяет направление движения влево."", ""Красный автомобиль, т. к. при одновременном перестроении он находится справа."", ""Синий автомобиль, т. к. при одновременном перестроении он находится слева.""]",2
"Обязаны ли водители транспортных  средств  в  населенных пунктах  уступать дорогу  транспортным средствам общего пользования, начинающим движение от обозначенного и оборудованного места  остановки?",null,"[""Да."", ""Нет.""]",1
Водитель какого транспортного средства должен уступить дорогу?,URLLINK/29.jpg,"[""Водитель легкового автомобиля."", ""Водитель грузового автомобиля.""]",1
Водитель какого транспортного средства должен уступить дорогу?,URLLINK/30.jpg,"[""Водитель автобуса."", ""Водитель автомобиля.""]",2
Водитель какого транспортного средства должен уступить дорогу?,URLLINK/31.jpg,"[""Водитель автомобиля."", ""Водитель трамвая.""]",1
Укажите очередность проезда перекрестка:,URLLINK/32.jpg,"[""Автобус, грузовой автомобиль, гужевая повозка."", ""Автобус и гужевая повозка, грузовой автомобиль.""]",2
"При встречном разъезде, на крутых спусках, необходимо уступить дорогу:",null,"[""Водителю транспортного средства общего пользования."", ""Водителю транспортного средства, движущегося на подъем."", ""Водителю транспортного средства, движущегося под уклон.""]",2
"Разрешается ли транспортным средствам общего пользования в населенных пунктах занимать крайнюю левую полосу дороги, имеющей 3 или более полосы в одном направлении?",null,"[""Разрешается при обгоне."", ""Разрешается при левом повороте или развороте."", ""Разрешается во всех случаях.""]",2
"Разрешается ли транспортным средствам, выполняющим регулярную перевозку пассажиров на всех дорогах, занимать крайнюю левую полосу дороги, имеющей 3 или более полосы в одном направлении?",null,"[""Разрешается при обгоне."", ""Разрешается, при левом повороте или развороте."", ""Разрешается в любых случаях.""]",2
Как должен поступить водитель автобуса в данной ситуации?,URLLINK/33.jpg,"[""Уступить дорогу легковому автомобилю."", ""Включить указатель поворота, дать звуковой сигнал и начать движение."", ""Начать движение, убедившись, что водитель легкового автомобиля уступает дорогу.""]",3
Водитель белого легкового автомобиля в данной ситуации:,URLLINK/34.jpg,"[""Должен уступить дорогу автобусу, который начинает движение с обозначенного места остановки."", ""Имеет преимущество в движении, поскольку автобус перестраивается на вторую полосу движения.""]",1
Водитель какого транспортного средства имеет право на первоочередное движение?,URLLINK/35.jpg,"[""Водитель легкового автомобиля."", ""Водитель автобуса.""]",1
Водитель какого транспортного средства имеет преимущество в движении в данной ситуации?,URLLINK/36.jpg,"[""Водитель автобуса."", ""Водитель легкового автомобиля."", ""Водитель легкового автомобиля не имеет право переехать на правую полосу.""]",1
"Обязан ли водитель автобуса уступить дорогу  грузовому автомобилю  на перекрестке, где организовано кольцевое движение?",URLLINK/37.jpg,"[""Обязан."", ""Не обязан.""]",2
"Обязан ли водитель автобуса, продолжающего движение прямо, уступить дорогу грузовому автомобилю?",URLLINK/38.jpg,"[""Обязан."", ""Не обязан.""]",1
"Кому Вы должны уступить дорогу, если намерены продолжать движение прямо?",URLLINK/39.jpg,"[""Двум транспортным средствам."", ""Только автобусу."", ""Только легковому автомобилю."", ""Никому.""]",1
"Какому транспортному средству Вы должны уступить дорогу, если намерены продолжить движение прямо?",URLLINK/40.jpg,"[""Только легковому автомобилю."", ""Только автобусу и легковому автомобилю."", ""Всем транспортным средствам."", ""Только мотоциклу.""]",2
Обязан ли водитель мотоцикла уступить дорогу в данной ситуации?,URLLINK/41.jpg,"[""Не обязан."", ""Обязан.""]",2
Имеете ли Вы право совершить маневр по обозначенной траектории в данной ситуации?,URLLINK/42.jpg,"[""Да."", ""Нет.""]",2
"Какому транспортному средству Вы должны уступить дорогу, продолжая движение прямо.",URLLINK/43.jpg,"[""Только легковому автомобилю."", ""Только грузовому автомобилю."", ""Двум транспортным средствам."", ""Никому.""]",3
"Обязаны ли Вы уступить дорогу легковому автомобилю, если продолжаете движение прямо?",URLLINK/44.jpg,"[""Обязаны."", ""Не обязаны.""]",2
"Обязаны ли Вы, начиная  движение с обочины, уступить дорогу легковому автомобилю, который делает разворот?",URLLINK/45.jpg,"[""Обязаны."", ""Не обязаны.""]",1
"Какому транспортному средству Вы должны уступить дорогу, продолжая движения прямо?",URLLINK/46.jpg,"[""Только легковому автомобилю."", ""Никому."", ""Только легковому автомобилю и мотоциклу."", ""Всем транспортным средствам.""]",1
"Какому  транспортному средству Вы должны уступить дорогу, если намерены совершить поворот налево?",URLLINK/47.jpg,"[""Мотоциклу."", ""Патрульному автомобилю."", ""Всем транспортным средствам.""]",3
"Какому транспортному средству Вы должны уступить дорогу, если намерены совершить разворот на перекрестке?",URLLINK/48.jpg,"[""Легковому автомобилю."", ""Всем транспортным средствам."", ""Грузовому автомобилю.""]",2
"Какому транспортному средству Вы должны уступить дорогу, если намерены совершить левый поворот на перекрестке?",URLLINK/49.jpg,"[""Грузовому автомобилю."", ""Всем транспортным средствам."", ""Никому.""]",2
"Какому транспортному средству Вы должны уступить дорогу, если намерены совершить левый поворот на перекрестке?",URLLINK/50.jpg,"[""Никому."", ""Только автобусу."", ""Только грузовому автомобилю с включенным проблесковым маячком."", ""Обоим транспортным средствам.""]",2
"Какому транспортному средству Вы должны уступить дорогу, если на перекрестке намерены совершить разворот ?",URLLINK/51.jpg,"[""Только грузовому автомобилю."", ""Только легковому автомобилю."", ""Всем транспортным средствам."", ""Никому.""]",1
"Какому транспортному средству Вы должны уступить дорогу, если намерены совершить левый поворот на перекрестке?",URLLINK/52.jpg,"[""Только автобусу."", ""Автобусу и легковому автомобилю."", ""Только легковому автомобилю."", ""Никому.""]",4
"Обязаны ли Вы уступить дорогу легковому автомобилю, если намерены совершить правый поворот на перекрестке?",URLLINK/53.jpg,"[""Обязаны."", ""Не обязаны.""]",2
"Какому транспортному средству Вы должны  уступить дорогу, если намерены совершить правый поворот на перекрестке?",URLLINK/54.jpg,"[""Никому."", ""Только легковому автомобилю."", ""Мотоциклу и легковому автомобилю.""]",1
